みゆママ,2023/07/12,今日の夕食は何がいいかな？
unknown,2023/07/12,私は野菜炒めを考えてるよ。君は？
平井,2023/07/12,私はパスタかな。何かいいレシピある？
みゆママ,2023/07/12,トマトベースのソースがおすすめだよ。
unknown,2023/07/12,それなら、私の特製ガーリックシュリンプもいいかも。
平井,2023/07/12,おいしそう！レシピを教えてもらえる？
みゆママ,2023/07/12,私は今夜は和食にしようと思ってる。
unknown,2023/07/12,和食いいね。何を作るの？
平井,2023/07/12,私も和食にしようかな。
みゆママ,2023/07/12,鮭の味噌焼きはどう？
unknown,2023/07/12,いいね！私は豚の生姜焼きにするよ。
平井,2023/07/12,私は野菜たっぷりの味噌汁を作るよ。
みゆママ,2023/07/12,それじゃあ、私は小松菜のおひたしを加えよう。
unknown,2023/07/12,私の家では、子供たちが揚げ物が好きなんだ。
平井,2023/07/12,天ぷらはどう？野菜も取れるし。
みゆママ,2023/07/12,天ぷらいいね！私も作ってみようかな。
unknown,2023/07/12,私はカレーにするよ。明日のお弁当にもいいし。
平井,2023/07/12,カレーいいね！私も週末に作ろうかな。
みゆママ,2023/07/12,カレーにはナンが合うよね。
unknown,2023/07/12,ナン！いいね、家で作れるかな？
平井,2023/07/12,家で作るナンは格別だよ。
みゆママ,2023/07/12,レシピを交換しようよ。
unknown,2023/07/12,いいね、私のカレーレシピはこれだよ。
平井,2023/07/12,私のナンのレシピはこちら。
みゆママ,2023/07/12,ありがとう！今度試してみるね。
unknown,2023/07/12,私もナン、挑戦してみるよ。
平井,2023/07/12,お互いの作った料理の写真をシェアしよう！
みゆママ,2023/07/12,いいね、楽しみにしてるよ。
unknown,2023/07/12,私も！みんなの料理、見るのが待ち遠しいな。
平井,2023/07/12,じゃあ、今夜はそれぞれの家庭で美味しい夕食を！
みゆママ,2023/07/12,うん、それじゃあ、また後で！
unknown,2023/07/12,またね！
平井,2023/07/12,バイバイ！
